time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625401.398,10.53707507,-0.69221721,1.24428874,-0.02219828,0.91554059,-0.00388724,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-18.42444985,-2.46998048,-0.78586592,8.32472426,0.9284495,-26.52760732,0.0,25.9292518,-0.74791443,1.08498369,8.36112807,-5.04318476,-0.487261,30.08690475,0.0,-29.46111161,-5.00487972
1760625401.431,10.00912108,-0.6084176,1.3871933,-0.02102972,0.92001812,-0.00364587,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-16.00533715,-2.62016381,-1.63566539,6.39777254,1.07742325,-26.06117107,0.0,26.27724436,-0.7271944,1.06598858,6.38034586,-5.19590251,-1.37992376,32.05256891,0.0,-31.40153858,-5.38523477
1760625401.465,10.08179604,-0.63189762,1.4280356,-0.02091674,0.9210779,-0.00381709,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.91991735,-2.49204785,-1.60854586,6.22384771,0.99418566,-26.02712969,0.0,26.28053393,-0.68602767,1.03703012,6.21731401,-5.11803624,-1.40745606,32.5709185,0.0,-31.92218955,-5.46071764
1760625401.498,10.17252704,-0.63009466,1.40468117,-0.02065526,0.92182513,-0.00382743,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.78958997,-2.49349779,-1.66720489,5.98296382,0.99693673,-26.00028511,0.0,26.31458275,-0.65764732,1.03226164,5.97551058,-5.1268509,-1.51701793,32.8079648,0.0,-32.15913741,-5.51073659
1760625401.531,10.09480113,-0.69585746,1.43536693,-0.02076967,0.92178383,-0.00415846,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.78508768,-2.53438999,-1.66690952,6.06190962,1.12287816,-26.02428445,0.0,26.30514646,-0.65353056,1.01663626,6.01842875,-5.24448499,-1.51475164,32.76289017,0.0,-32.11945201,-5.49411669
1760625401.565,10.04349485,-0.64079428,1.48445628,-0.0208451,0.92229084,-0.00417834,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.69254471,-2.6473302,-1.86093882,6.0206293,1.20524282,-25.99868783,0.0,26.38145089,-0.64150391,1.0156287,5.95219552,-5.33503106,-1.68790218,32.87569039,0.0,-32.25833145,-5.51246111
1760625401.598,10.16278028,-0.62620579,1.60001584,-0.02115548,0.92250811,-0.00351008,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.6244777,-2.71221473,-1.83377982,5.84580794,1.27689829,-26.02575895,0.0,26.36008713,-0.64981433,0.95517399,5.77716882,-5.39943495,-1.55558822,32.68976068,0.0,-32.16356245,-5.4766631
1760625401.665,10.21782731,-0.52049567,1.61177535,-0.02191185,0.92292482,-0.00305546,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.71874345,-2.87855522,-2.00093102,5.85635791,1.36054867,-25.97474955,0.0,26.4398727,-0.65353269,0.92184268,5.77524269,-5.52059128,-1.79990556,32.48749325,0.0,-32.02355182,-5.38482886
1760625401.699,10.21021846,-0.51108791,1.63372892,-0.0217893,0.92291268,-0.00300931,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.72558058,-2.87570381,-1.97892406,5.86057458,1.35101145,-25.99260416,0.0,26.42184132,-0.65186583,0.91088573,5.77085681,-5.52724425,-1.84494546,32.47061002,0.0,-32.04420925,-5.38255226
1760625401.732,10.08899262,-0.49316973,1.55405631,-0.02181537,0.92318915,-0.00343093,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-15.77496251,-2.79720007,-2.0777533,6.0287829,1.25449719,-25.89512738,0.0,26.52297679,-0.67640117,0.88542863,5.91363691,-5.44788711,-2.04075726,32.60617436,0.0,-32.23848933,-5.40881985
