time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760624777.952,7.31372269,0.97746948,-1.33807777,0.04655207,0.95022556,0.01085345,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.41344728,-0.93752578,-1.36152453,3.27427822,-2.87162885,2.21016976,11.15036785,0.0,-10.40216523,-0.1119074,4.70020052,-1.81045788,-2.43706559,0.07269367,0.04862703,-1.00905761,1.28901965
1760624777.986,7.30828557,0.98431105,-1.33308213,0.04702531,0.95123486,0.01040097,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.41081071,-0.92890862,-1.35417827,3.27941628,-2.89409416,2.25905921,11.14454153,0.0,-10.42810126,-0.11206843,4.69860767,-1.83072809,-2.38929877,0.07953479,0.03248147,-1.00544489,1.30902241
1760624778.019,7.26990333,0.9559362,-1.29702838,0.04740226,0.95317398,0.01089658,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.27023693,-0.91545971,-1.40842608,3.15801652,-2.88117439,2.27134531,11.7389474,0.0,-11.02860496,-0.22374512,4.64427122,-1.85524781,-2.36295445,0.06447206,0.00548635,-1.01031988,1.30588739
1760624778.053,7.06125898,0.95173921,-1.24478572,0.0457381,0.95350784,0.01084408,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-9.98980118,-0.90908808,-1.45422163,3.04303814,-2.87581006,2.29854181,11.31540073,0.0,-10.60584762,-0.16019716,4.56296295,-1.86029426,-2.37423939,0.07757202,0.05280522,-1.0168072,1.30288312
1760624778.086,7.03768762,0.94094903,-1.23211317,0.04599316,0.95428045,0.01116697,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.0029333,-0.92918892,-1.45644529,3.07096289,-2.84557004,2.3347412,11.40372153,0.0,-10.64354191,-0.22074103,4.57994567,-1.89704224,-2.33342529,0.07552693,0.10577663,-0.99445054,1.31821007
1760624778.12,7.03403575,0.96864617,-1.18880276,0.04664787,0.95493537,0.01137216,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-9.99450421,-0.9193221,-1.49869723,3.04416386,-2.89774517,2.29040268,12.1775016,0.04503704,-11.400801,-0.370362,4.56368069,-1.87205156,-2.29354687,0.06847732,0.1027619,-0.98717052,1.30986446
1760624778.153,7.01939544,0.97301282,-1.182554,0.0466992,0.95521545,0.01137227,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.01395686,-0.91745523,-1.50086267,3.07173673,-2.92453068,2.26477269,12.19423103,0.2647231,-11.42470663,-0.34893026,4.57924522,-1.8701351,-2.28102125,0.07327402,0.02969152,-0.99546869,1.30979487
1760624778.187,7.03569534,0.94596349,-1.11926533,0.0464846,0.95683963,0.01168202,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.04330352,-0.92850663,-1.54071873,3.07268154,-2.89977208,2.20121205,12.59632898,0.35180159,-11.82592867,-0.42030199,4.58073481,-1.91346644,-2.24002993,0.07587667,0.0,-0.98629599,1.27137444
1760624778.22,7.17178363,0.93794453,-1.0902905,0.04788343,0.95767158,0.01175641,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.2563094,-0.89241462,-1.62061841,3.13472884,-2.93007117,2.19008645,13.55089996,0.38484087,-12.74621979,-0.59629156,4.71190862,-1.90996864,-2.32953677,0.06820308,0.04320142,-1.0056079,1.28086705
1760624778.253,7.27900462,0.92394544,-1.03868152,0.04848492,0.9578138,0.01185111,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-10.44651139,-0.84032786,-1.6863553,3.21634837,-2.95573806,2.16498547,14.32334478,0.40536115,-13.56584313,-0.75156035,4.82950546,-1.90017494,-2.39113846,0.05809686,0.08273275,-1.00483965,1.29622342
