time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760624915.7,1.85814927,-0.04749331,0.47289973,-0.03718127,0.90263821,-0.00594425,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.87930775,-1.82745463,-9.47962465,5.70054405,2.22596251,8.78254124,0.69215807,0.0,-0.06535397,0.12645035,6.33801754,-5.16571923,-10.45903427,31.18514206,0.0,-31.35128273,-4.45880124
1760624915.734,1.86010519,-0.04032756,0.48099956,-0.03686139,0.9038279,-0.00570926,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.39645153,-2.05072049,-9.00810882,5.22195306,2.29427882,8.35624154,0.68827646,0.0,-0.045361,0.11238984,5.8404226,-5.26757952,-9.95838917,31.11452317,0.0,-31.26651613,-4.40548875
1760624915.767,1.88751784,-0.00271955,0.51706373,-0.03741986,0.90517707,-0.00571785,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.12700311,-2.20221507,-8.71750632,4.92173423,2.30620988,8.16090724,0.70209252,0.0,-0.02041809,0.12161917,5.55346878,-5.34088017,-9.67727578,31.65770506,0.0,-31.81878064,-4.48183582
1760624915.8,1.88552175,-0.00213579,0.51807066,-0.03732176,0.90518981,-0.00541869,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.12642366,-2.20782803,-8.71994475,4.92779751,2.29665069,8.22855201,0.70640377,0.0,-0.01609302,0.12129417,5.55244498,-5.34733834,-9.60453816,31.65229937,0.0,-31.82402769,-4.48246307
1760624915.834,1.87042657,0.02935751,0.54026464,-0.0371899,0.90578553,-0.0055539,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.19837693,-2.18161748,-8.82059519,5.02544727,2.24084043,8.34762619,0.70546116,0.0,-0.01508125,0.1190529,5.67019275,-5.3285373,-9.70082059,31.83812834,0.0,-31.99986206,-4.45602256
1760624915.867,1.84600507,0.04465167,0.5535219,-0.03699202,0.90620767,-0.00603069,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.18849565,-2.07311444,-8.75517215,5.07742711,2.12140052,8.43204763,0.67121598,0.0,-0.04087679,0.08250118,5.74169542,-5.19543927,-9.68132517,31.99262288,0.0,-32.17387307,-4.47742933
1760624915.901,1.83390804,0.05672145,0.55742965,-0.03673702,0.90678855,-0.00654482,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.11267343,-1.9577921,-8.51557151,5.02494356,1.96101622,8.26965172,0.66988,0.0,-0.04734483,0.05470197,5.72086428,-5.02686311,-9.47331735,32.36062017,0.0,-32.52686453,-4.54320804
1760624915.934,1.80133745,0.03557979,0.53062951,-0.03598582,0.90674304,-0.00696713,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.0712376,-1.97077844,-8.57555914,4.99483207,1.98565722,8.41738022,0.6708587,0.0,-0.04100292,0.03339616,5.70399942,-5.07656168,-9.58569092,32.55708567,0.0,-32.7063609,-4.53658447
1760624915.968,1.76330344,0.0289925,0.51115162,-0.03502302,0.90674184,-0.00669026,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.85505826,-2.05280303,-8.66058429,4.77883248,2.04116013,8.6346151,0.66203049,0.0,-0.03071856,-0.00130447,5.5018206,-5.11811559,-9.69316773,32.48830996,0.0,-32.64591854,-4.55643748
1760624916.001,1.72677873,0.00571468,0.49837844,-0.03464722,0.90678197,-0.00655116,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.91610724,-2.06678873,-8.79257447,4.83572907,2.07942694,8.75697118,0.68559382,0.0,-0.02031605,0.00268069,5.5795248,-5.16085609,-9.88737071,32.58823968,0.0,-32.74180186,-4.58208336
