time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625236.521,0.58916167,0.15026272,-0.02015449,0.00065878,0.94173173,-0.00332675,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.23275278,-0.34815719,-3.6257841,6.95202923,-0.70767266,3.41712661,7.9175933,0.0,-7.86546871,-0.47363612,7.93177708,-1.90137487,-3.52634311,0.0,0.02933182,0.29888044,-0.38670184
1760625236.555,0.59159889,0.11269508,-0.00094435,-0.00316661,0.94968272,-0.00459324,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.44246794,-0.01368575,-3.44759032,5.10339964,-1.07262621,3.30656721,10.02755305,0.0,-9.7950086,-0.96609962,6.1257668,-1.48319216,-3.37808128,0.0,0.08782908,0.24086535,-0.29573892
1760625236.588,0.59788578,0.09848256,0.01956517,-0.00556797,0.95099802,-0.00475457,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.88953893,-0.00026029,-3.21184775,4.47404027,-1.03131248,3.11420088,9.97257103,0.0,-9.6594865,-1.02496487,5.45847137,-1.41171312,-3.14679228,0.0,0.14688506,0.04460393,-0.40211222
1760625236.622,0.55190716,0.07355934,0.05111033,-0.00496187,0.95089082,-0.00601046,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.55653322,0.07025774,-3.31238917,4.15972583,-0.97313919,3.21010471,9.76810547,0.0,-9.40698185,-1.01422765,5.13193897,-1.32611972,-3.22939029,0.0,0.10812412,-0.22210203,-0.53267628
1760625236.655,0.55807841,0.05397347,0.08131701,-0.00385344,0.95103535,-0.00654163,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.73737902,0.06423196,-3.32815464,4.35041164,-0.89952538,3.19975501,8.54528799,0.0,-8.21980843,-0.71622379,5.2716044,-1.33545319,-3.21581415,0.0,0.03284538,-0.37009389,-0.59596413
1760625236.689,0.5447585,0.03996527,0.09510102,-0.00349983,0.95122156,-0.00658545,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.73053971,0.05108114,-3.4037502,4.37017684,-0.85739607,3.30338437,7.87203851,0.0,-7.56058575,-0.56786302,5.24814197,-1.35377244,-3.26867997,0.0,0.0,-0.40738327,-0.59949946
1760625236.722,0.50882316,0.02864848,0.1312449,-0.00215583,0.95097764,-0.00681441,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.70384339,0.04234526,-3.49573764,4.36080604,-0.82325014,3.34173505,7.1956886,0.0,-6.89183463,-0.40874255,5.22175355,-1.3480209,-3.32838069,0.0,0.0,-0.39602749,-0.59368137
1760625236.756,0.48198654,0.02024957,0.14703474,-0.00037173,0.95078611,-0.00673982,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.70077507,0.0343013,-3.54869762,4.35964355,-0.82891242,3.47617079,6.58757176,0.0,-6.27680856,-0.26289747,5.22144126,-1.33463568,-3.37398234,0.0,0.0,-0.33925559,-0.57575902
1760625236.789,0.48307397,0.01681502,0.15587613,-0.00018505,0.95101374,-0.00637566,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.72011494,0.00987313,-3.58661672,4.34760073,-0.81588294,3.6190496,5.99720982,0.0,-5.70274111,-0.13907162,5.23993307,-1.31783261,-3.3837671,0.0,0.0,-0.24355037,-0.58724513
1760625236.822,0.52499339,0.01060489,0.18099372,-0.00091793,0.95139354,-0.00628111,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.68761024,-0.01031894,-3.59627241,4.23928136,-0.81520229,3.64522406,5.97049813,0.0,-5.66924642,-0.10779288,5.15841902,-1.27127035,-3.35873879,0.0,0.0,-0.07209883,-0.61374183
