time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760624559.589,0.19220255,-0.05114626,0.09419383,-0.02200178,0.93592001,0.00722084,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-8.39413475,-0.93872377,-8.54358376,8.77682199,1.3847741,8.24515428,0.40013458,0.02677539,0.1602152,0.11007419,8.53813191,-4.63684202,-25.76050522,0.0,17.61900975,-0.94253309,1.24089083
1760624559.622,0.18224316,-0.05937761,0.10449383,-0.02026523,0.93794767,0.00724398,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.65365421,-0.90509736,-7.94925992,8.12865398,1.13792842,7.7083752,0.39701582,0.0,0.17389321,0.10041706,7.86680221,-4.42992658,-25.46086,0.0,17.88745094,-0.95911191,1.24753033
1760624559.655,0.17706274,-0.07074882,0.11390469,-0.01951715,0.93825664,0.00724379,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.77369848,-0.95546264,-7.21078589,7.30589492,0.96909631,7.03612831,0.38806648,0.0,0.14415997,0.08324461,6.97612211,-4.29649065,-25.11165401,0.0,18.26435948,-0.91385908,1.23752582
1760624559.689,0.18871344,-0.07589327,0.11532431,-0.01976634,0.93894234,0.00682119,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.00106665,-0.93667425,-7.29705408,7.54412753,0.97800115,7.12436641,0.39185141,0.0,0.15818598,0.10826316,7.18942527,-4.33638472,-25.11788019,0.0,18.23626293,-0.91463848,1.24372669
1760624559.722,0.18989131,-0.08123429,0.1230788,-0.01897645,0.93918041,0.00686191,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.29150372,-1.01586131,-7.3742252,7.84930987,1.09972404,7.21514243,0.40165919,0.0,0.17702996,0.08985935,7.52313471,-4.47676744,-25.07431097,0.0,18.16530385,-0.92173332,1.24660857
1760624559.756,0.210968,-0.09582227,0.13247057,-0.01879893,0.93942253,0.00653609,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.2703,-1.00532172,-7.35557002,7.82835109,1.09312209,7.22335852,0.38668987,0.0,0.15729369,0.09857865,7.49987167,-4.48677958,-25.05963405,0.0,18.16537146,-0.92556528,1.20507274
1760624559.789,0.19734387,-0.10335716,0.12815378,-0.01807048,0.93949693,0.00646978,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.13073982,-1.00021976,-7.37216383,7.70923432,1.08606519,7.27105454,0.39128513,0.0,0.15424006,0.04991888,7.38053172,-4.48309429,-25.03071972,0.0,18.10449319,-0.89387662,1.23528192
1760624559.823,0.18631404,-0.09953851,0.14945812,-0.01764087,0.93980888,0.0065948,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.1315683,-0.99961218,-7.37010064,7.69288499,1.10041557,7.34177539,0.4177456,0.0,0.17565469,0.05001737,7.4013223,-4.49702127,-24.9891705,0.0,18.1294184,-0.88834643,1.2481891
1760624559.856,0.18621898,-0.09418737,0.16978803,-0.01743074,0.93996987,0.00675149,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.13375718,-0.99548827,-7.34901152,7.6822522,1.11621766,7.38789679,0.42148991,0.0,0.17305484,0.04885156,7.39987513,-4.49919267,-24.9660769,0.0,18.14849201,-0.88843916,1.24247103
1760624559.89,0.19548807,-0.09311253,0.17773728,-0.01662565,0.9403123,0.00737738,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.2284785,-1.12005172,-7.55048431,7.74038859,1.30945756,7.60314199,0.44479112,0.0,0.18288225,0.04772481,7.47315234,-4.66432167,-24.90013943,0.0,17.96324548,-0.93416734,1.23447538
1760624559.923,0.19852871,-0.09293051,0.19172865,-0.01610004,0.94060611,0.0075309,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.35524913,-1.08848956,-7.42970223,7.86262195,1.32080041,7.51044366,0.48459889,0.0,0.18178946,0.0434285,7.73031706,-4.44535196,-20.6825376,0.0,13.90002774,-0.96449414,1.25310651
1760624559.957,0.20951342,-0.09976449,0.19990291,-0.01634033,0.94080477,0.0075933,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-7.36234277,-1.09001371,-7.44851269,7.82822499,1.35077818,7.5189911,0.51865658,0.0,0.1900573,0.04009581,7.71786785,-4.45228258,-20.67270748,0.0,13.90850477,-0.97611405,1.24123119
1760624560.023,0.21567562,-0.09160085,0.20667807,-0.01627551,0.94129619,0.00778923,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.99573435,-1.18040727,-7.28028743,7.41136604,1.39274986,7.44620423,0.53874732,0.0,0.16902476,0.00413571,7.33858091,-4.45349165,-20.60567038,0.0,13.98052508,-0.96970963,1.25766124
1760624560.057,0.22102157,-0.10019459,0.21214883,-0.01594716,0.94148556,0.00752196,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.66247119,-1.15557147,-7.03521636,7.07976837,1.31410453,7.22364919,0.52057762,0.0,0.17837252,-0.00105939,6.99017511,-4.36403961,-20.51457839,0.0,14.10493599,-0.97388892,1.24830124
1760624560.124,0.21972712,-0.11015555,0.21845375,-0.01434955,0.9421289,0.00739618,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.40131078,-1.22902807,-6.84021728,6.80570307,1.35812751,6.96558192,0.53430216,0.0,0.14686941,-0.01841604,6.71463668,-4.38488189,-20.44365299,0.0,14.21760277,-0.9671585,1.20403034
1760624560.157,0.22111581,-0.10644031,0.22462701,-0.01435881,0.94207993,0.00768259,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.40430525,-1.22731653,-6.83575786,6.8080162,1.36292226,6.94954893,0.53667421,0.0,0.14488067,-0.0153246,6.70600235,-4.37653279,-20.46182034,0.0,14.2006651,-0.96941616,1.19991042
1760624560.191,0.22585164,-0.10653877,0.22629016,-0.01379665,0.94197312,0.00769734,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.01827678,-1.17478252,-6.67842557,6.41318563,1.26398612,6.85213054,0.54476936,0.0,0.12926508,-0.03840737,6.30022312,-4.2486246,-20.45210504,0.0,14.28259488,-0.95117043,1.17487272
1760624560.224,0.23333356,-0.10611123,0.22588355,-0.01423412,0.94202199,0.00778757,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.02682043,-1.1716018,-6.67048475,6.39245122,1.29150502,6.86419031,0.54658654,0.0,0.12373063,-0.03228456,6.27798024,-4.22200261,-20.46432031,0.0,14.27878078,-0.92690873,1.16484641
1760624560.258,0.23237609,-0.10469368,0.24496258,-0.01383456,0.94188214,0.0075081,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.91602186,-1.13579589,-6.75063468,6.25998761,1.26518414,6.94648004,0.56688529,0.0,0.1454395,-0.04155949,6.15630796,-4.16435993,-20.55135264,0.0,14.28313167,-0.90234513,1.15929447
1760624560.291,0.22612279,-0.10274705,0.25465272,-0.01392628,0.94182724,0.00762885,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.92221053,-1.13665389,-6.72945735,6.24524376,1.2871651,6.95037006,0.57001483,0.0,0.14151346,-0.03566152,6.15753873,-4.1475999,-20.57304896,0.0,14.26480124,-0.90034403,1.168343
1760624560.324,0.21906551,-0.10094622,0.25117693,-0.01360954,0.94175544,0.0077817,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.81026752,-1.16099841,-6.75488308,6.10435922,1.33567505,7.06813567,0.55387872,0.0,0.08097954,-0.0300244,6.06157612,-4.1519867,-20.70224682,0.0,14.25190884,-0.89548863,1.19093798
1760624560.358,0.22141507,-0.10283296,0.25379928,-0.01393757,0.94207944,0.00770672,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.81630491,-1.15701097,-6.74694987,6.06985749,1.33607062,7.08633457,0.56861816,0.0,0.10316814,-0.02946817,6.09245337,-4.15449245,-20.72762416,0.0,14.23785269,-0.85999934,1.20283556
