time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625076.93,-0.006436,0.04053051,-0.0122023,0.00466397,0.92452283,0.01257711,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.85125201,1.65603393,-0.92062472,8.84084407,-11.76412518,-0.39827407,23.98411715,0.13606799,-24.22774449,4.26114789,7.06080483,0.69017804,-1.07805365,0.0,0.00623208,-1.149174,0.86933968
1760625076.964,0.00276555,0.03650812,-0.0009541,0.00299212,0.92542243,0.01204565,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.84326766,1.609496,-0.84329841,8.89464055,-11.94505863,-0.46895993,23.97847461,0.14534947,-24.31057225,4.44184603,7.01995903,0.61595946,-1.0086797,0.0,0.0,-1.12130653,0.89251474
1760625076.997,-0.03385841,0.03312514,0.00745066,0.00318999,0.92671205,0.01166845,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.63268166,1.57376568,-0.94429973,8.73477839,-11.96807426,-0.48958531,24.09224281,0.32034382,-24.41908254,4.53116476,6.8454885,0.53981983,-1.1193113,0.0,0.02568747,-1.13201093,0.8709756
1760625077.03,-0.03232558,0.02987329,0.01816113,0.00356698,0.92737353,0.01229466,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.549273,1.57004029,-0.92060717,8.5666135,-12.01752344,-0.68956376,24.77528473,0.44389465,-25.06184485,4.52494484,6.72993166,0.50547208,-1.11412916,0.0,0.11667985,-1.12063489,0.88685583
1760625077.064,-0.04655242,0.02733095,0.01641497,0.00357254,0.92844384,0.01269819,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.52381632,1.55569975,-0.95867172,8.5143641,-12.08090495,-0.64136421,25.18946144,0.43269734,-25.44298179,4.49318357,6.67400973,0.467778,-1.1777377,0.0,0.19597569,-1.14483012,0.87415644
1760625077.097,-0.06995247,0.02507399,0.01475322,0.00399146,0.92859564,0.01200341,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.43912997,1.57264331,-1.04723271,8.3127712,-12.13851772,-0.56012455,25.13196619,0.57225928,-25.34584693,4.5655731,6.53185241,0.45458626,-1.25203909,0.0,0.4374513,-1.17889394,0.81231089
1760625077.131,-0.09900753,0.02075043,0.01342518,0.00486408,0.92904166,0.01156672,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.39444317,1.55341147,-1.05155835,8.28767295,-12.15848967,-0.54012219,25.12025905,0.534302,-25.34255267,4.61339016,6.45458865,0.40402552,-1.26835808,0.0,0.69561011,-1.19367136,0.77889619
1760625077.164,-0.10890769,0.02009839,0.0121233,0.00486369,0.92997852,0.0115561,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.22913395,1.51362134,-1.08759142,8.16354804,-12.18764678,-0.54958689,25.17318957,0.56876439,-25.42275802,4.79517717,6.28537582,0.36754509,-1.3115195,0.0,0.67571056,-1.2159777,0.73324533
1760625077.198,-0.11439229,0.0171888,0.00739593,0.00416264,0.9304899,0.01200445,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.19511394,1.52819584,-1.08325309,8.06621618,-12.23846295,-0.71903619,25.59064822,0.62020695,-25.81327622,4.83944674,6.2486855,0.39819262,-1.32702487,0.0,0.63852427,-1.24462735,0.694963
1760625077.231,-0.11309244,0.01271225,0.01389445,0.00385733,0.9307387,0.01220073,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.22111726,1.52176036,-1.09784908,8.0755588,-12.22975539,-0.72050788,25.61379505,0.62846697,-25.80414727,4.8501761,6.26029143,0.38758805,-1.33812587,0.0,0.59333532,-1.22683873,0.69627355
